constituencyNumber,constituencyName
1,Chikkodi
2,Belgaum
3,Bagalkot
4,Bijapur (SC)
5,Gulbarga (SC)
6,Raichur (ST)
7,Bidar
8,Koppald
9,Bellary (ST)
10,Haveri
11,Dharwad
12,Uttara Kannada
13,Davanagere
14,Shimoga
15,Udupi Chikmagalur
16,Hassan
17,Dakshina Kannada
18,Chitradurga (SC)
19,Tumkur
20,Mandya
21,Mysore
22,Chamrajanagar (SC)
23,Bangalore Rural
24,Bangalore North
25,Bangalore Central
26,Bangalore South
27,Chikkballapur
28,Kolar (SC)
